menulist,item_mbowls,price_mbowls,item_sharing24,price_sharing24,item_sharing5,price_sharing5,item_sides,,price_sides,item_hotdeals,price_hotdeals,item_drinks,price_drinks,item_abowl,price_abowl,item_boxes,price_boxes,item_mburger,price_mburger,item_aburger,price_aburger,item_achicken,price_achicken,item_mchicken,price_mchicken
chicken,Original Recipe Rice Bowl Meal,$8.50,Might Zinger Buddy Meal ,$22.95,Mega Feast,$62.95,Snack N Share Box,,$12.95,Mighty Zinger Meal,$10.95,Pepsi(Reg),$2.80,Original Recipe Rice Bowl,$5.30,Zinger Stacker,$11.75,Mighty Zinger Meal,$10.95,Mighty Zinger,$6.80,2 PCs Chicken ,$6.95,2Pcs Chicken Meal,$10.15
bowls,Curry Rice Bowl Meal ,$8.50,Mighty Zinger Variety Box,$29.35,XXL Feast,$82.95,Brown Sugar Boba Tea Tart (2pcs),,$4.00,Mighty Zinger Buddy Meal,$22.95,Pepsi Black(Reg),$2.80,Curry Rice Bowl,$5.30,Zinger Box,$10.15,Mac N Cheese O.R.Burger,$10.45,Mac N Cheese Original Receipe,$6.30,3Pcs Chicken,$8.95,3Pcs Chicken Meal,$12.15
boxes,Famous Potato Bowl Meal ,$8.50,Mac N Cheese Burger Buddy Meal,$22.45,10 Pcs Chicken Bucket,$27.00,Brown Sugar Boba Tea Tart (6pcs),,$10.00,Mighty Zinger Variety Box,$29.35,Pepsi Bottle (1.5L),$3.80,Famous Potato Boal,$5.30,BBQ Pockett Box,$10.15,,,Zinger Stacker,$6.80,,,,
sharing ,,,Mac N Cheese Burger Variety Box,$28.95,,,Hot & Crispy Tenders (5pcs),,$6.80,Mac N Cheese O.R.Burger Meal,$10.45,Pepsi Black Bottle (1.5L),$3.80,,,Tenders Box,$9.15,,,Zinger Burger,$4.90,,,,
drinks ,,,Variety Feast,$40.95,,,Nuggets (6pcs),,$4.30,Variety Feast,$40.95,Natural Mineral Water ,$2.40,,,,,,,BBQ Pockett,$4.90,,,,
sides,,,Zinger Stacker Variety Box,$29.35,,,Nuggets (20pcs),,$12.00,Brown Suger Boba Tea Tart (2pcs),$4.00,,,,,,,,,Shrooms Burger ,$3.00,,,,
,,,Zinger Variety Box ,$27.95,,,Popcorn Chicken,,$4.60,Brown Suger Boba Tea Tart (6pcs),$10.00,,,,,,,,,Colonel Burger,$3.00,,,,
,,,BBQ Pockett Variety Box,$27.95,,,Cheese Fries,,$4.70,Snack N Share Box,$12.95,,,,,,,,,,,,,,
,,,Snack N Share Box,$12.95,,,Fries(Large),,$3.70,10pcs Chicken Bucket,$27.00,,,,,,,,,,,,,,
,,,4 Pcs Buddy Meal ,$21.30,,,Whipped Potato(Med),,$3.40,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
